date,metric_name,value,segment,plan,region,domain,description
2025-06-14,Strategic Alignment Index,0.948,Enterprise,Enterprise,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-06-14,Strategic Alignment Index,0.8049,Enterprise,Basic,EMEA,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-07-14,Strategic Alignment Index,0.9625,SMB,Enterprise,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-07-14,Strategic Alignment Index,0.8962,SMB,Enterprise,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-07-14,Strategic Alignment Index,0.9105,Enterprise,Enterprise,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-08-13,Strategic Alignment Index,0.9044,SMB,Basic,EMEA,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-08-13,Strategic Alignment Index,0.8146,SMB,Basic,EMEA,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-08-13,Strategic Alignment Index,0.8221,Mid-Market,Pro,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-09-12,Strategic Alignment Index,0.8971,Mid-Market,Basic,EMEA,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-09-12,Strategic Alignment Index,0.7811,Mid-Market,Enterprise,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-09-12,Strategic Alignment Index,0.6288,SMB,Pro,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-10-12,Strategic Alignment Index,0.9771,Mid-Market,Enterprise,EMEA,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-10-12,Strategic Alignment Index,0.9379,Enterprise,Enterprise,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-10-12,Strategic Alignment Index,0.7834,SMB,Enterprise,EMEA,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-11-11,Strategic Alignment Index,0.6511,SMB,Pro,EMEA,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-11-11,Strategic Alignment Index,0.8755,SMB,Pro,EMEA,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-11-11,Strategic Alignment Index,0.6922,SMB,Pro,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-12-11,Strategic Alignment Index,0.7871,Enterprise,Basic,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-12-11,Strategic Alignment Index,0.6639,Mid-Market,Pro,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-12-11,Strategic Alignment Index,0.6425,Enterprise,Basic,EMEA,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-01-15,Strategic Vision Clarity Score,0.8558,SMB,Enterprise,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-01-15,Strategic Vision Clarity Score,0.8028,SMB,Basic,EMEA,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-01-15,Strategic Vision Clarity Score,0.7432,Mid-Market,Basic,North America,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-02-14,Strategic Vision Clarity Score,0.9146,Enterprise,Basic,North America,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-02-14,Strategic Vision Clarity Score,0.8489,Enterprise,Pro,North America,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-02-14,Strategic Vision Clarity Score,0.7931,Enterprise,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-03-16,Strategic Vision Clarity Score,1.143,Mid-Market,Pro,North America,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-03-16,Strategic Vision Clarity Score,0.8776,Enterprise,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-03-16,Strategic Vision Clarity Score,0.9022,SMB,Enterprise,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-04-15,Strategic Vision Clarity Score,0.7433,Mid-Market,Pro,North America,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-04-15,Strategic Vision Clarity Score,0.9285,Mid-Market,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-04-15,Strategic Vision Clarity Score,0.8715,SMB,Basic,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-05-15,Strategic Vision Clarity Score,0.999,Mid-Market,Enterprise,North America,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-05-15,Strategic Vision Clarity Score,0.9418,Enterprise,Basic,EMEA,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-05-15,Strategic Vision Clarity Score,1.018,Enterprise,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-06-14,Strategic Vision Clarity Score,1.0533,Enterprise,Pro,North America,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-06-14,Strategic Vision Clarity Score,0.8447,SMB,Pro,EMEA,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-06-14,Strategic Vision Clarity Score,0.8898,Mid-Market,Pro,North America,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-07-14,Strategic Vision Clarity Score,0.8614,Enterprise,Basic,North America,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-07-14,Strategic Vision Clarity Score,0.7948,Mid-Market,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-07-14,Strategic Vision Clarity Score,0.8456,Mid-Market,Enterprise,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-08-13,Strategic Vision Clarity Score,1.1819,SMB,Basic,EMEA,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-08-13,Strategic Vision Clarity Score,1.0376,Enterprise,Basic,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-08-13,Strategic Vision Clarity Score,0.8814,Mid-Market,Basic,North America,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-09-12,Strategic Vision Clarity Score,0.915,Mid-Market,Basic,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-09-12,Strategic Vision Clarity Score,0.9886,Enterprise,Basic,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-09-12,Strategic Vision Clarity Score,0.9687,SMB,Basic,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-10-12,Strategic Vision Clarity Score,0.7807,SMB,Enterprise,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-10-12,Strategic Vision Clarity Score,0.742,Mid-Market,Enterprise,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-10-12,Strategic Vision Clarity Score,1.02,Enterprise,Enterprise,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-11-11,Strategic Vision Clarity Score,1.0247,SMB,Enterprise,North America,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-11-11,Strategic Vision Clarity Score,0.8685,Mid-Market,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-11-11,Strategic Vision Clarity Score,1.0061,Enterprise,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-12-11,Strategic Vision Clarity Score,1.0369,SMB,Pro,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-12-11,Strategic Vision Clarity Score,0.8082,Enterprise,Enterprise,APAC,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-12-11,Strategic Vision Clarity Score,0.8504,Enterprise,Pro,EMEA,"Strategy [Inferred] (Focuses on the ""strategic vision,"" which is a foundational",Measures the understanding and coherence of the strategic vision across
2025-01-15,Priority Awareness Index,0.3956,SMB,Pro,EMEA,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-01-15,Priority Awareness Index,0.4616,Mid-Market,Basic,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-01-15,Priority Awareness Index,0.5367,Mid-Market,Basic,EMEA,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-02-14,Priority Awareness Index,0.4329,SMB,Pro,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-02-14,Priority Awareness Index,0.529,SMB,Basic,EMEA,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-02-14,Priority Awareness Index,0.5233,Mid-Market,Basic,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-03-16,Priority Awareness Index,0.4635,SMB,Enterprise,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-03-16,Priority Awareness Index,0.4097,SMB,Pro,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-03-16,Priority Awareness Index,0.4449,Enterprise,Basic,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-04-15,Priority Awareness Index,0.5158,Mid-Market,Pro,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-04-15,Priority Awareness Index,0.6169,Mid-Market,Pro,EMEA,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-04-15,Priority Awareness Index,0.612,Mid-Market,Enterprise,EMEA,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-05-15,Priority Awareness Index,0.4418,SMB,Basic,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-05-15,Priority Awareness Index,0.4971,SMB,Pro,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-05-15,Priority Awareness Index,0.5481,SMB,Enterprise,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-06-14,Priority Awareness Index,0.4406,Enterprise,Basic,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-06-14,Priority Awareness Index,0.462,Enterprise,Basic,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-06-14,Priority Awareness Index,0.5067,Mid-Market,Basic,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-07-14,Priority Awareness Index,0.3955,Enterprise,Basic,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-07-14,Priority Awareness Index,0.4699,SMB,Pro,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-07-14,Priority Awareness Index,0.3388,SMB,Basic,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-08-13,Priority Awareness Index,0.319,Enterprise,Enterprise,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-08-13,Priority Awareness Index,0.3257,Enterprise,Enterprise,EMEA,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-08-13,Priority Awareness Index,0.3984,Enterprise,Enterprise,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-09-12,Priority Awareness Index,0.3306,Enterprise,Enterprise,EMEA,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-09-12,Priority Awareness Index,0.3904,SMB,Basic,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-09-12,Priority Awareness Index,0.3921,Enterprise,Enterprise,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-10-12,Priority Awareness Index,0.4361,Mid-Market,Enterprise,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-10-12,Priority Awareness Index,0.4647,SMB,Basic,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-10-12,Priority Awareness Index,0.4972,Enterprise,Basic,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-11-11,Priority Awareness Index,0.3593,Enterprise,Basic,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-11-11,Priority Awareness Index,0.4797,SMB,Enterprise,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-11-11,Priority Awareness Index,0.3498,SMB,Pro,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-12-11,Priority Awareness Index,0.4738,SMB,Basic,APAC,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-12-11,Priority Awareness Index,0.4376,Mid-Market,Enterprise,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-12-11,Priority Awareness Index,0.407,Mid-Market,Enterprise,North America,"Strategy [Inferred] (Focuses on ""strategic priorities"" and their organizational","Gauges whether strategic priorities are understood, relevant, and front-ofmind across the organization."
2025-01-15,Initiative Confidence Index,0.6831,SMB,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-01-15,Initiative Confidence Index,0.6465,SMB,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-01-15,Initiative Confidence Index,0.8277,Mid-Market,Pro,APAC,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-02-14,Initiative Confidence Index,0.7912,Mid-Market,Basic,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-02-14,Initiative Confidence Index,0.8305,Mid-Market,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-02-14,Initiative Confidence Index,0.6788,SMB,Enterprise,North America,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-03-16,Initiative Confidence Index,0.9042,Enterprise,Pro,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-03-16,Initiative Confidence Index,0.6517,SMB,Enterprise,North America,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-03-16,Initiative Confidence Index,0.9216,Enterprise,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-04-15,Initiative Confidence Index,0.6414,Mid-Market,Pro,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-04-15,Initiative Confidence Index,0.7856,SMB,Pro,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-04-15,Initiative Confidence Index,0.8105,SMB,Basic,APAC,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-05-15,Initiative Confidence Index,0.6567,Mid-Market,Enterprise,North America,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-05-15,Initiative Confidence Index,0.7829,Mid-Market,Basic,APAC,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-05-15,Initiative Confidence Index,0.7929,SMB,Basic,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-06-14,Initiative Confidence Index,0.6864,Mid-Market,Enterprise,APAC,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-06-14,Initiative Confidence Index,0.7463,Mid-Market,Pro,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-06-14,Initiative Confidence Index,0.6314,Mid-Market,Basic,APAC,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-07-14,Initiative Confidence Index,0.8023,SMB,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-07-14,Initiative Confidence Index,0.7326,Enterprise,Pro,North America,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-07-14,Initiative Confidence Index,0.6748,SMB,Enterprise,APAC,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-08-13,Initiative Confidence Index,0.8764,Mid-Market,Pro,APAC,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-08-13,Initiative Confidence Index,0.7933,SMB,Pro,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-08-13,Initiative Confidence Index,0.759,Mid-Market,Basic,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-09-12,Initiative Confidence Index,0.8179,Enterprise,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-09-12,Initiative Confidence Index,0.8447,Mid-Market,Pro,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-09-12,Initiative Confidence Index,0.6872,Enterprise,Pro,APAC,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-10-12,Initiative Confidence Index,0.865,Enterprise,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-10-12,Initiative Confidence Index,0.8855,SMB,Enterprise,North America,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-10-12,Initiative Confidence Index,0.6342,Mid-Market,Pro,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-11-11,Initiative Confidence Index,0.6727,SMB,Basic,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-11-11,Initiative Confidence Index,0.72,Enterprise,Pro,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-11-11,Initiative Confidence Index,0.6544,SMB,Enterprise,EMEA,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-12-11,Initiative Confidence Index,0.7653,Enterprise,Basic,APAC,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
2025-12-11,Initiative Confidence Index,0.8815,Mid-Market,Basic,APAC,"Strategy [Inferred] (Focuses on the perceived attributes of ""strategic initiatives""","Captures the belief in the clarity, impact, and viability of active or proposed"
